sepal_length,sepal_width,petal_length,petal_width,species,stigma_length
5.9,3,4.2,1.5,versicolor,0.761146997
6,2.2,4,1,versicolor,0.249062853
6.1,2.9,4.7,1.4,versicolor,0.116507352
5.6,2.9,3.6,1.3,versicolor,0.534354315
6.7,3.1,4.4,1.4,versicolor,0.789508492
5.6,3,4.5,1.5,versicolor,0.584370263
5.8,2.7,4.1,1,versicolor,0.017075955
6.2,2.2,4.5,1.5,versicolor,0.638371926
5.6,2.5,3.9,1.1,versicolor,0.295767569
5.9,3.2,4.8,1.8,versicolor,0.356268721
6.1,2.8,4,1.3,versicolor,0.658120562
6.3,2.5,4.9,1.5,versicolor,0.897757099
6.1,2.8,4.7,1.2,versicolor,0.058026804
6.4,2.9,4.3,1.3,versicolor,0.86164069
6.6,3,4.4,1.4,versicolor,0.303052365
6.8,2.8,4.8,1.4,versicolor,0.715623647
6.7,3,5,1.7,versicolor,0.106187128
6,2.9,4.5,1.5,versicolor,0.894492712
5.7,2.6,3.5,1,versicolor,0.166827387
5.5,2.4,3.8,1.1,versicolor,0.962558535
5.5,2.4,3.7,1,versicolor,0.684937056
5.8,2.7,3.9,1.2,versicolor,0.449763925
6,2.7,5.1,1.6,versicolor,0.336130785
5.4,3,4.5,1.5,versicolor,0.783256997
6,3.4,4.5,1.6,versicolor,0.535814216
6.7,3.1,4.7,1.5,versicolor,0.368450185
6.3,2.3,4.4,1.3,versicolor,0.44871859
5.6,3,4.1,1.3,versicolor,0.069519465
5.5,2.5,4,1.3,versicolor,0.628154075
5.5,2.6,4.4,1.2,versicolor,0.19999421
6.1,3,4.6,1.4,versicolor,0.445264748
5.8,2.6,4,1.2,versicolor,0.441382435
5,2.3,3.3,1,versicolor,0.588505119
5.6,2.7,4.2,1.3,versicolor,0.665402198
5.7,3,4.2,1.2,versicolor,0.40175019
5.7,2.9,4.2,1.3,versicolor,0.062329828
6.2,2.9,4.3,1.3,versicolor,0.181543417
5.1,2.5,3,1.1,versicolor,0.892273477
5.7,2.8,4.1,1.3,versicolor,0.053501016
6.3,3.3,6,2.5,virginica,0.993281118
5.8,2.7,5.1,1.9,virginica,0.329085342
7.1,3,5.9,2.1,virginica,0.502116825
6.3,2.9,5.6,1.8,virginica,0.876629731
6.5,3,5.8,2.2,virginica,0.077042227
7.6,3,6.6,2.1,virginica,0.82823168
4.9,2.5,4.5,1.7,virginica,0.127766947
7.3,2.9,6.3,1.8,virginica,0.454694593
6.7,2.5,5.8,1.8,virginica,0.455556634
7.2,3.6,6.1,2.5,virginica,0.909228911
6.5,3.2,5.1,2,virginica,0.279137462
6.4,2.7,5.3,1.9,virginica,0.496798055
6.8,3,5.5,2.1,virginica,0.515513227
5.7,2.5,5,2,virginica,0.812917643
5.8,2.8,5.1,2.4,virginica,0.614915835
6.4,3.2,5.3,2.3,virginica,0.549456661
6.5,3,5.5,1.8,virginica,0.293164365
7.7,3.8,6.7,2.2,virginica,0.129538358
7.7,2.6,6.9,2.3,virginica,0.984942781
6,2.2,5,1.5,virginica,0.590218571
6.9,3.2,5.7,2.3,virginica,0.138565219
5.6,2.8,4.9,2,virginica,0.18305312
7.7,2.8,6.7,2,virginica,0.095854381
6.3,2.7,4.9,1.8,virginica,0.072624651
6.7,3.3,5.7,2.1,virginica,0.394728339
7.2,3.2,6,1.8,virginica,0.280202826
6.2,2.8,4.8,1.8,virginica,0.753114626
6.1,3,4.9,1.8,virginica,0.592629904
6.4,2.8,5.6,2.1,virginica,0.585746308
7.2,3,5.8,1.6,virginica,0.092405051
7.4,2.8,6.1,1.9,virginica,0.120879717
7.9,3.8,6.4,2,virginica,0.842290808
6.4,2.8,5.6,2.2,virginica,0.496857247
6.3,2.8,5.1,1.5,virginica,0.524281409
6.1,2.6,5.6,1.4,virginica,0.178295446
7.7,3,6.1,2.3,virginica,0.631355516
6.3,3.4,5.6,2.4,virginica,0.0251494
6.4,3.1,5.5,1.8,virginica,0.844004957
6,3,4.8,1.8,virginica,0.745083984
6.9,3.1,5.4,2.1,virginica,0.217776143
6.7,3.1,5.6,2.4,virginica,0.61231365
6.9,3.1,5.1,2.3,virginica,0.344260434
5.8,2.7,5.1,1.9,virginica,0.466079324
6.8,3.2,5.9,2.3,virginica,0.668581708
6.7,3.3,5.7,2.5,virginica,0.057082802
6.7,3,5.2,2.3,virginica,0.783925093
6.3,2.5,5,1.9,virginica,0.366368361
6.5,3,5.2,2,virginica,0.0064703
6.2,3.4,5.4,2.3,virginica,0.986958054
5.9,3,5.1,1.8,virginica,0.360899804
